0Bb2zMzQAL,85,46
0Bb2zMzQAL,61,44
0Bb2zMzQAL,89,45
0Bb2zMzQAL,99,47
0Bb2zMzQAL,10,43
0Bb2zMzQAL,69,42
0Bb2zMzQAL,84,41
0nYGfSzH52,75,35
0nYGfSzH52,63,31
0nYGfSzH52,71,32
0nYGfSzH52,20,38
0nYGfSzH52,58,40
0nYGfSzH52,20,5
0nYGfSzH52,57,33
0nYGfSzH52,80,6
0nYGfSzH52,33,4
0nYGfSzH52,99,10
0nYGfSzH52,26,34
0nYGfSzH52,45,39
0nYGfSzH52,56,7
0nYGfSzH52,3,9
0nYGfSzH52,44,36
0nYGfSzH52,34,8
0nYGfSzH52,83,1
0nYGfSzH52,27,3
0nYGfSzH52,100,2
0nYGfSzH52,25,37
1aRjlUAYpO,-1,67
1aRjlUAYpO,-1,68
1aRjlUAYpO,-1,69
1aRjlUAYpO,52,64
1aRjlUAYpO,67,66
1aRjlUAYpO,30,63
1aRjlUAYpO,68,46
1aRjlUAYpO,88,44
1aRjlUAYpO,79,45
1aRjlUAYpO,79,65
1aRjlUAYpO,100,47
1aRjlUAYpO,47,43
1aRjlUAYpO,76,42
1aRjlUAYpO,68,41
1aRjlUAYpO,98,62
2ruNWPmicg,93,51
2ruNWPmicg,66,50
2ruNWPmicg,58,25
2ruNWPmicg,56,26
2ruNWPmicg,77,24
2ruNWPmicg,37,30
2ruNWPmicg,98,53
2ruNWPmicg,49,52
2ruNWPmicg,23,27
2ruNWPmicg,9,29
2ruNWPmicg,119,28
2ruNWPmicg,29,21
2ruNWPmicg,49,23
2ruNWPmicg,94,22
2ruNWPmicg,83,48
2ruNWPmicg,48,49
4D8d5NFQey,46,36
4D8d5NFQey,36,35
4D8d5NFQey,63,31
4D8d5NFQey,58,32
4D8d5NFQey,29,38
4D8d5NFQey,48,40
4D8d5NFQey,31,5
4D8d5NFQey,56,33
4D8d5NFQey,92,6
4D8d5NFQey,94,4
4D8d5NFQey,67,10
4D8d5NFQey,63,34
